date,day_of_week,start_time,end_time,location,speaker,affiliation,theme,track_x,recommended,time_for_row,orig_time_if_moved,is_moderator,has_room_conflict,is_general_event
November 18th,Tuesday,3:10 PM,3:50 PM,Sheraton - Second Floor: Back Bay Ballroom B,Walker Tzeng,Olivet University,Can AI ‘Know’ God? A Comparative Study of Generative AI and Human Theology,Christianity and Culture,False,3:10 PM,,False,False,
November 18th,Tuesday,4:00 PM,4:40 PM,Sheraton - Second Floor: Back Bay Ballroom B,David C. Parker,,Racial and Ethnic Embodied Narratives and a Local Church's Missiological Responsibility,Christianity and Culture,,4:00 PM,,False,False,
November 18th,Tuesday,1:30 PM,4:40 PM,Sheraton - Second Floor: Back Bay Ballroom C,Kenneth Keathley,Southeastern Baptist Theological Seminary,Moderator,Christianity and the Natural Sciences,,1:30 PM,,True,False,
November 18th,Tuesday,1:30 PM,2:00 PM,Sheraton - Second Floor: Back Bay Ballroom C,Hugh Ross,Reasons to Believe,Noah's Flood Revisited,Christianity and the Natural Sciences,False,1:30 PM,,False,False,
November 18th,Tuesday,2:00 PM,2:30 PM,Sheraton - Second Floor: Back Bay Ballroom C,Gregg Davidson,University of Mississippi,Response from an Old-Earth Geologist,Christianity and the Natural Sciences,False,2:20 PM,2:00 PM,False,False,
November 18th,Tuesday,2:40 PM,3:10 PM,Sheraton - Second Floor: Back Bay Ballroom C,Tremper Longman,Westmont College,Response from an Old Testament Scholar,Christianity and the Natural Sciences,True,2:20 PM,2:40 PM,False,False,
November 18th,Tuesday,3:10 PM,3:40 PM,Sheraton - Second Floor: Back Bay Ballroom C,Matthew McLain*,The Master's University,Response from a Young-Earth Geologist,Christianity and the Natural Sciences,,3:10 PM,,False,False,
November 18th,Tuesday,3:50 PM,4:40 PM,Sheraton - Second Floor: Back Bay Ballroom C,Panel Discussion/Q&A,,,Christianity and the Natural Sciences,,4:00 PM,3:50 PM,False,False,
November 18th,Tuesday,1:30 PM,2:10 PM,Sheraton - Second Floor: Back Bay Ballroom A,Carina Prestes,"Adventist University of São Paulo, Brasil",Excavating Women: The Archaeology of Leaders in Early Christianity,Evangelicals and Women,False,1:30 PM,,False,False,
November 18th,Tuesday,2:20 PM,3:00 PM,Sheraton - Second Floor: Back Bay Ballroom A,Aida Besancon Spencer,Gordon-Conwell Theological Seminary,Women Elders at Crete,Evangelicals and Women,False,2:20 PM,,False,False,
November 18th,Tuesday,3:10 PM,3:50 PM,Sheraton - Second Floor: Back Bay Ballroom A,Lynn Cohick,Houston Theological Seminary,Women Deacons and the Council of Nicaea,Evangelicals and Women,False,3:10 PM,,False,False,
November 18th,Tuesday,4:00 PM,4:40 PM,Sheraton - Second Floor: Back Bay Ballroom A,John Herbst,Virginia Peninsula Baptist Association,Jesus Reframes daikon: Acts 6 & Luke 22:26,Evangelicals and Women,False,4:00 PM,,False,False,
November 18th,Tuesday,1:30 PM,4:40 PM,Copley Place - Third Floor: Simmons,Darrell Bock,Dallas Theological Seminary,Moderator,Evangelicals in the Public Square,True,1:30 PM,,True,False,
November 18th,Tuesday,1:30 PM,2:00 PM,Copley Place - Third Floor: Simmons,Darrell Bock,Dallas Theological Seminary,Escaping the Polarization of the Cul de Sac: Is It Possible?,Evangelicals in the Public Square,True,1:30 PM,,False,False,
November 18th,Tuesday,2:00 PM,2:30 PM,Copley Place - Third Floor: Simmons,Galen Carey,National Association of Evangelicals,What Are Our Christian and Political Responsibilities?,Evangelicals in the Public Square,False,2:20 PM,2:00 PM,False,False,
November 18th,Tuesday,2:40 PM,3:10 PM,Copley Place - Third Floor: Simmons,Don Smedley,Rivendell Institute,Role of Conﬂict in Evangelical Political Engagement: Reconciling Neighbor Love and Justice,Evangelicals in the Public Square,False,2:20 PM,2:40 PM,False,False,
November 18th,Tuesday,3:10 PM,3:40 PM,Copley Place - Third Floor: Simmons,Eric Patterson,Regent University,Theological Reﬂections on Four Dimensions of Politics,Evangelicals in the Public Square,False,3:10 PM,,False,False,
November 18th,Tuesday,3:40 PM,4:10 PM,Copley Place - Third Floor: Simmons,John Hartley,Rivendell Institute,"Transforming Conﬂict: Redemptive Opportunity and the Intersection of the Political & Christian",Evangelicals in the Public Square,,4:00 PM,3:40 PM,False,False,
November 18th,Tuesday,4:20 PM,4:40 PM,Copley Place - Third Floor: Simmons,Panel Discussion and Q&A,,,Evangelicals in the Public Square,,4:00 PM,4:20 PM,False,False,
November 18th,Tuesday,1:30 PM,4:40 PM,Copley Place - Fourth Floor: Vineyard,David Mathewson,Denver Seminary,Moderator,New Testament Greek Language and Exegesis,,1:30 PM,,True,False,
November 18th,Tuesday,1:30 PM,2:10 PM,Copley Place - Fourth Floor: Vineyard,Stanley E. Porter,McMaster Divinity College,"Sociolinguistics and the New Testament: Where from, What, and Where to?",New Testament Greek Language and Exegesis,False,1:30 PM,,False,False,
November 18th,Tuesday,2:20 PM,3:00 PM,Copley Place - Fourth Floor: Vineyard,Jim Dvorak,McMaster Divinity College,A Sociolinguistic Perspective on Paul’s Use of the Language of Imitation,New Testament Greek Language and Exegesis,False,2:20 PM,,False,False,
November 18th,Tuesday,3:10 PM,3:50 PM,Copley Place - Fourth Floor: Vineyard,Jonathan Watt,Geneva College,Implications of Contact Linguistics for New Testament Discourse,New Testament Greek Language and Exegesis,False,3:10 PM,,False,False,
November 18th,Tuesday,4:00 PM,4:40 PM,Copley Place - Fourth Floor: Vineyard,Sung Min Park,McMaster Divinity College,Sociolinguistic Approaches to the Corinthian Epistles: Language Style and Linguistic Ideology,New Testament Greek Language and Exegesis,False,4:00 PM,,False,False,
November 18th,Tuesday,1:30 PM,2:10 PM,Copley Place - Fourth Floor: Grand Ballroom Salon H,John D. Doss,Asbury Theological Seminary/Asbury University,"The Grace Formula (Exod 34:6-7) in its Ancient Near Eastern Context ",Old Testament Background / Ancient Near East,False,1:30 PM,,False,False,
November 18th,Tuesday,2:20 PM,3:00 PM,Copley Place - Fourth Floor: Grand Ballroom Salon H,Joshua Sherrill,"Evangelische Theologische Faculteit, Leuven",Corroborating Evidence for the Antiquity of the Torah’s Hebrew,Old Testament Background / Ancient Near East,False,2:20 PM,,False,False,
November 18th,Tuesday,3:10 PM,3:50 PM,Copley Place - Fourth Floor: Grand Ballroom Salon H,Mark Francois,Colorado Christian University,Exemption and Curse: The Origin and Purpose of the Military Exemptions of Deuteronomy 20:5-7,Old Testament Background / Ancient Near East,False,3:10 PM,,False,False,
November 18th,Tuesday,4:00 PM,4:40 PM,Copley Place - Fourth Floor: Grand Ballroom Salon H,Matthew Saunders,Johns Hopkins University,Scribal Lists and the Limits of Knowledge: The Rhetoric of Wisdom in the Book of Job,Old Testament Background / Ancient Near East,False,4:00 PM,,False,False,
November 18th,Tuesday,1:30 PM,4:40 PM,Copley Place - Fourth Floor: Grand Ballroom Salon J,William R. Osborne,College of the Ozarks,Moderator,Old Testament Prophetic and Apocalyptic Books,,1:30 PM,,True,False,
November 18th,Tuesday,1:30 PM,2:10 PM,Copley Place - Fourth Floor: Grand Ballroom Salon J,Daniel Timmer,"PRTS, FTE-Acadia",Moral Imagination and Justice in Malachi,Old Testament Prophetic and Apocalyptic Books,False,1:30 PM,,False,False,
November 18th,Tuesday,2:20 PM,3:00 PM,Copley Place - Fourth Floor: Grand Ballroom Salon J,Yadi Hu,McMaster Divinity College,The Shema Embodied: Jeremiah as a Paradigm,Old Testament Prophetic and Apocalyptic Books,False,2:20 PM,,False,False,
November 18th,Tuesday,3:10 PM,3:50 PM,Copley Place - Fourth Floor: Grand Ballroom Salon J,"Robert B. Chisholm, Jr.",Dallas Theological Seminary,Every Morning He Reveals His Justice: Moral Imagination and Justice in Zephaniah,Old Testament Prophetic and Apocalyptic Books,,3:10 PM,,False,False,
November 18th,Tuesday,4:00 PM,4:40 PM,Copley Place - Fourth Floor: Grand Ballroom Salon J,Wilson de Angelo Cunha,Calvin Theological Seminary,Moral Imagination and Justice in Isaiah,Old Testament Prophetic and Apocalyptic Books,,4:00 PM,,False,False,
November 18th,Tuesday,1:30 PM,4:40 PM,Copley Place - First Floor: Tremont,Stefana Dan Laing,Beeson Divinity School,Moderator,Patristic and Medieval History,,1:30 PM,,True,False,
November 18th,Tuesday,1:30 PM,2:10 PM,Copley Place - First Floor: Tremont,Don Springer,McMaster Divinity College Centre for Patristics & Early Christianity,Seeds of Nicaea: Substance and Light in the Writings of Irenaeus",Patristic and Medieval History,,1:30 PM,,False,False,
November 18th,Tuesday,2:20 PM,3:00 PM,Copley Place - First Floor: Tremont,Bryan Litﬁn,Liberty University,Tracing a Creedal Pedigree: How Did the Patristic Regula Fidei Aﬀect the Apostles’ Creed?,Patristic and Medieval History,,2:20 PM,,False,False,
November 18th,Tuesday,3:10 PM,3:50 PM,Copley Place - First Floor: Tremont,James Payton,McMaster Divinity College,The Impact of the Council of Nicaea: Already/Not Yet,Patristic and Medieval History,False,3:10 PM,,False,False,
November 18th,Tuesday,4:00 PM,4:40 PM,Copley Place - First Floor: Tremont,Megan DeVore,Colorado Christian University,Christological Hermeneutics in Early Christian Art,Patristic and Medieval History,False,4:00 PM,,False,False,
November 18th,Tuesday,1:30 PM,4:40 PM,Copley Place - Fourth Floor: Grand Ballroom Salon I,Andrew Schmutzer,Moody Bible Institute,Moderator,Psalms and Hebrew Poetry,,1:30 PM,,True,False,
November 18th,Tuesday,1:30 PM,2:10 PM,Copley Place - Fourth Floor: Grand Ballroom Salon I,Robert Cole,eteacher.com,The Function of Psalm 88's Superscription,Psalms and Hebrew Poetry,False,1:30 PM,,False,False,
November 18th,Tuesday,2:20 PM,3:00 PM,Copley Place - Fourth Floor: Grand Ballroom Salon I,Peter C. W. Ho,Singapore Bible College,Can an Integrative Reading of the Masoretic Psalter Stand in the Presence of Textual Variants?,Psalms and Hebrew Poetry,False,2:20 PM,,False,False,
November 18th,Tuesday,3:10 PM,3:50 PM,Copley Place - Fourth Floor: Grand Ballroom Salon I,Craig Long,Taylor University,That Head Still Isn’t Crushed: Head Crushing and Messianic Imagery in the Imprecatory Psalms,Psalms and Hebrew Poetry,False,3:10 PM,,False,False,
November 18th,Tuesday,4:00 PM,4:40 PM,Copley Place - Fourth Floor: Grand Ballroom Salon I,Ahrum Yoo,Dallas Theological Seminary,The Enemy is a Trapper: the Ultimate Enemy in the Evolving Metaphors of Trap in the Psalms,Psalms and Hebrew Poetry,False,4:00 PM,,False,False,
November 18th,Tuesday,1:30 PM,2:10 PM,Copley Place - Fifth Floor: Maine,Jonathon Beeke,Puritan Reformed Theological Seminary,Bénédict Pictet (1655-1724) on the Twofold Kingdom of Christ,Reformation Studies,False,1:30 PM,,False,False,
November 18th,Tuesday,2:20 PM,3:00 PM,Copley Place - Fifth Floor: Maine,Martin Klauber,Trinity Evangelical Divinity School,Pierre Allix (1640-1717) on the Jewish Roots of the Trinity,Reformation Studies,False,2:20 PM,,False,False,
November 18th,Tuesday,3:10 PM,3:50 PM,Copley Place - Fifth Floor: Maine,Matthew Miller,The C. S. Lewis Institute,Bénédict Pictet (1655-1724) and Reformed Scholasticism for the Unschooled,Reformation Studies,False,3:10 PM,,False,False,
November 18th,Tuesday,4:00 PM,4:40 PM,Copley Place - Fifth Floor: Maine,Levi Berntson,Reformation Bible College,The Role of Reason in Seventeenth and Eighteenth-Century Reformed Thought,Reformation Studies,False,4:00 PM,,False,False,
November 18th,Tuesday,1:30 PM,4:40 PM,Copley Place - Third Floor: Suﬀolk,Jillian L. Ross,Liberty Theological Seminary,Moderator,Scriptural Use of Scripture,,1:30 PM,,True,False,
November 18th,Tuesday,1:30 PM,2:10 PM,Copley Place - Third Floor: Suﬀolk,Christine Palmer,Gordon-Conwell Theological Seminary,Recalling Sinai on the Day of Atonement,Scriptural Use of Scripture,False,1:30 PM,,False,False,
November 18th,Tuesday,2:20 PM,3:00 PM,Copley Place - Third Floor: Suﬀolk,Kevin W. McFadden,Cairn University,Referens Plenior: The Use of the Old Testament in Romans as a Test Case,Scriptural Use of Scripture,False,2:20 PM,,False,False,
November 18th,Tuesday,3:10 PM,3:50 PM,Copley Place - Third Floor: Suﬀolk,George H. Guthrie,Regent College,Has Our ‘Reading Backwards’ Approach to Hebrews Been Framed?,Scriptural Use of Scripture,False,3:10 PM,,False,False,
November 18th,Tuesday,4:00 PM,4:40 PM,Copley Place - Third Floor: Suﬀolk,Matthew B. Quintana,McMaster Divinity College,Expanding the Inner-Biblical Context of the Old Testament Allusions in Revelation 19:11-16,Scriptural Use of Scripture,False,4:00 PM,,False,False,
November 18th,Tuesday,1:30 PM,2:10 PM,Copley Place - Third Floor: Wellesley,Christy Gonet,California Baptist University,Holding Fast and Drawing Near: Sanctiﬁcation in Hebrews,,
November 18th,Tuesday,2:20 PM,3:00 PM,Copley Place - Third Floor: Wellesley,Andrew Barron,Tyndale University; Wycliﬀe College,Beyond the Hyper-Cognitive: Rethinking Spiritual Formation for the Intellectually Disabled,,
November 18th,Tuesday,3:10 PM,3:50 PM,Copley Place - Third Floor: Wellesley,John Coe,"Talbot School of Theology, Institute for Spiritual Formation","Spiritual Formation, Virtue, and Flourishing: What Does Jesus have to do with Aristotle?",,
November 18th,Tuesday,4:00 PM,4:40 PM,Copley Place - Third Floor: Wellesley,Donald Love,Liberty Baptist Theological Seminary,With All your Heart and Mind: Biblical Communicative Imagination and Emotions in Prayer,,
November 18th,Tuesday,1:30 PM,4:40 PM,Copley Place - Fourth Floor: Grand Ballroom Salon C,Josh Malone,Reformed Theological Seminary - Jackson,Moderator,Trinitarian Theology Study Group,,1:30 PM,,True,False,
November 18th,Tuesday,1:30 PM,2:10 PM,Copley Place - Fourth Floor: Grand Ballroom Salon C,Brandon D. Smith,Oklahoma Baptist University,Toward a Robust Biblical Trinitarianism: Pro-Nicene Retrieval and the Early High Christology Club,Trinitarian Theology Study Group,False,1:30 PM,,False,False,
November 18th,Tuesday,2:20 PM,3:00 PM,Copley Place - Fourth Floor: Grand Ballroom Salon C,Rob Price,Talbot School of Theology,Psalm 2 in Nicene Theology,Trinitarian Theology Study Group,False,2:20 PM,,False,False,
November 18th,Tuesday,3:10 PM,3:50 PM,Copley Place - Fourth Floor: Grand Ballroom Salon C,Joshua M. Greever,Bethlehem College and Seminary,Defending Nicea: The Doctrine of the Trinity in Ephesians,Trinitarian Theology Study Group,False,3:10 PM,,False,False,
November 18th,Tuesday,4:00 PM,4:40 PM,Copley Place - Fourth Floor: Grand Ballroom Salon C,TBD,,"",Trinitarian Theology Study Group,,4:00 PM,,False,False,
November 18th,Tuesday,1:30 PM,4:40 PM,Copley Place - Fourth Floor: Falmouth,Alan Parker,Southern Adventist University,Moderator,Adventist Theological Society,,1:30 PM,,True,False,
November 18th,Tuesday,1:30 PM,2:10 PM,Copley Place - Fourth Floor: Falmouth,Beersheba Maywald-Jacob,Adventist International Institute of Advanced Studies,Rethinking Missions to Postmoderns in the Indian Context: Narratives and Worldview Transformation,Adventist Theological Society,False,1:30 PM,,False,False,
November 18th,Tuesday,2:20 PM,3:00 PM,Copley Place - Fourth Floor: Falmouth,Diói Cruz,"Middle East University, Lebanon",Biblical Identity and the Cultural Mandate: Reclaiming Diversity in Scripture and Society,Adventist Theological Society,,2:20 PM,,False,False,
November 18th,Tuesday,3:10 PM,3:50 PM,Copley Place - Fourth Floor: Falmouth,Felipe A. Masotti,Adventist College of Paraná,"Divine Wisdom, Prophetical Understanding and Identitary Knowledge",Adventist Theological Society,False,3:10 PM,,False,False,
November 18th,Tuesday,4:00 PM,4:40 PM,Copley Place - Fourth Floor: Falmouth,Dominic Bornand,Seminar Schloss Bogenhofen,Christian Identity and Unity in the Seven Letters: A First-Century Pastoral Perspective,Adventist Theological Society,False,4:00 PM,,False,False,
November 18th,Tuesday,1:30 PM,4:40 PM,Sheraton - Third Floor: Commonwealth,Angus Menuge,Concordia University Wisconsin,Moderator,Evangelical Philosophical Society,False,1:30 PM,,True,False,
November 18th,Tuesday,1:30 PM,1:40 PM,Sheraton - Third Floor: Commonwealth,Angus Menuge,Concordia University Wisconsin,"Theoretical Virtues, Models for Science and Religion engagement, and Human Origins",Evangelical Philosophical Society,False,1:30 PM,,False,False,
November 18th,Tuesday,1:40 PM,2:05 PM,Sheraton - Third Floor: Commonwealth,Michael N. Keas,Biola University,New Objections to the Mytho-Historical Adam and Genealogical Adam and Eve Theories,Evangelical Philosophical Society,False,1:30 PM,1:40 PM,False,False,
November 18th,Tuesday,2:05 PM,2:30 PM,Sheraton - Third Floor: Commonwealth,William Lane Craig,Talbot School of Theology,"The Mytho-Historical Adam and Eve View (Compared to the Views of Keas and Loke) ",Evangelical Philosophical Society,True,2:20 PM,2:05 PM,False,False,
November 18th,Tuesday,2:30 PM,2:55 PM,Sheraton - Third Floor: Commonwealth,Andrew Ter Ern Loke,Hong Kong Baptist University,The Genealogical Adam and Eve View (Compared to the Views of Keas and Craig),Evangelical Philosophical Society,False,2:20 PM,2:30 PM,False,False,
November 18th,Tuesday,2:55 PM,3:20 PM,Sheraton - Third Floor: Commonwealth,C. John (“Jack”) Collins,Covenant Theological Seminary,How to Evaluate the Mytho-Historical and Genealogical Adam and Eve Views as Exegetical Hypotheses,Evangelical Philosophical Society,,3:10 PM,2:55 PM,False,False,
November 18th,Tuesday,3:20 PM,3:30 PM,Sheraton - Third Floor: Commonwealth,Response: Andrew Ter Ern Loke,Hong Kong Baptist University,,Evangelical Philosophical Society,,3:10 PM,3:20 PM,False,False,
November 18th,Tuesday,3:30 PM,3:40 PM,Sheraton - Third Floor: Commonwealth,Response: William Lane Craig,Talbot School of Theology,,Evangelical Philosophical Society,,3:10 PM,3:30 PM,False,False,
November 18th,Tuesday,3:40 PM,3:50 PM,Sheraton - Third Floor: Commonwealth,Response: Michael N. Keas,Biola University,,Evangelical Philosophical Society,,4:00 PM,3:40 PM,False,False,
November 18th,Tuesday,3:50 PM,4:40 PM,Sheraton - Third Floor: Commonwealth,Panel Discussion/Q&A,,,Evangelical Philosophical Society,,4:00 PM,3:50 PM,False,False,
November 18th,Tuesday,1:30 PM,4:40 PM,Copley Place - Third Floor: MIT,JT Turner,Anderson University,Moderator,Evangelical Philosophical Society,,1:30 PM,,True,False,
November 18th,Tuesday,1:30 PM,2:10 PM,Copley Place - Third Floor: MIT,Matthew Flannagan,St. Peters College Epsom,Thibodeau and the Horrendous Deeds Objection: A Reply,Evangelical Philosophical Society,True,1:30 PM,,False,False,
November 18th,Tuesday,2:20 PM,3:00 PM,Copley Place - Third Floor: MIT,Blake McAllister,Hillsdale College,Redeeming Theodicy: Defeating Evil and Ivan’s Objections Along with It,Evangelical Philosophical Society,False,2:20 PM,,False,False,
November 18th,Tuesday,3:10 PM,3:50 PM,Copley Place - Third Floor: MIT,Matthew Roberts,Patrick Henry College,"Actualizable, Creatable, and Best Possible Worlds: A Response to William Rowe on Divine Freedom",Evangelical Philosophical Society,False,3:10 PM,,False,False,
November 18th,Tuesday,4:00 PM,4:40 PM,Copley Place - Third Floor: MIT,Brendan Ritchie,,"Good and the Problem of Evil ",Evangelical Philosophical Society,,4:00 PM,,False,False,
November 18th,Tuesday,1:30 PM,4:40 PM,Copley Place - Third Floor: Harvard,Parker Settecase,Palm Beach Atlantic University,Moderator,Evangelical Philosophical Society,,1:30 PM,,True,False,
November 18th,Tuesday,1:30 PM,2:10 PM,Copley Place - Third Floor: Harvard,Nick Meader,Newcastle University,A Proposed Modiﬁcation of Plantinga’s Evolutionary Argument Against Naturalism,Evangelical Philosophical Society,False,1:30 PM,,False,False,
November 18th,Tuesday,2:20 PM,3:00 PM,Copley Place - Third Floor: Harvard,Jonathan Reibsamen,Columbia International University,Is Petitionary Prayer Senseless?,Evangelical Philosophical Society,False,2:20 PM,,False,False,
November 18th,Tuesday,3:10 PM,3:50 PM,Copley Place - Third Floor: Harvard,Paul M. Gould,Palm Beach Atlantic University,Experiences of Beauty in Art as Signs of Transcendence: Claims in Need of Conﬁrmation,Evangelical Philosophical Society,False,3:10 PM,,False,False,
November 18th,Tuesday,4:00 PM,4:40 PM,Copley Place - Third Floor: Harvard,Ryan Smith,Palm Beach Atlantic University,"Timelessness, Life-everlasting, and an Actual Inﬁnite",Evangelical Philosophical Society,False,4:00 PM,,False,False,
November 18th,Tuesday,1:30 PM,4:40 PM,Copley Place - First Floor: Boylston,Gary D. Urie,Veritas International University,Moderator,Near East Archaeological Society,,1:30 PM,,True,False,
November 18th,Tuesday,1:30 PM,2:10 PM,Copley Place - First Floor: Boylston,Jordan McClinton,Veritas International University,Shiloh Season 7 Update,Near East Archaeological Society,False,1:30 PM,,False,False,
November 18th,Tuesday,2:20 PM,3:00 PM,Copley Place - First Floor: Boylston,Seth Rodriquez,Colorado Christian University,"Ashdod: Past Excavations, Future Prospects",Near East Archaeological Society,False,2:20 PM,,False,False,
November 18th,Tuesday,3:10 PM,3:50 PM,Copley Place - First Floor: Boylston,Richard Lanser,Associates for Biblical Research,The First Regnal Year of Tiberius as Indicated on Roman Coins,Near East Archaeological Society,False,3:10 PM,,False,False,
November 18th,Tuesday,4:00 PM,4:40 PM,Copley Place - First Floor: Boylston,John Wineland,,"(KRP) in Central Jordan: New Insights from the Final Publication Phase",Near East Archaeological Society,,4:00 PM,,False,False,
November 18th,Tuesday,1:30 PM,4:40 PM,Copley Place - Fifth Floor: Massachusetts,Daniel Webster,Welch College,Moderator,Creedal Christianity,,1:30 PM,,True,False,
November 18th,Tuesday,1:30 PM,2:10 PM,Copley Place - Fifth Floor: Massachusetts,Ryan Lytton,Southeastern Baptist Theological Seminary,Dishonored for Our Sake That We Might Be Honored: Athanasius & Atonement in “On the Incarnation,Creedal Christianity,False,1:30 PM,,False,False,
November 18th,Tuesday,2:20 PM,3:00 PM,Copley Place - Fifth Floor: Massachusetts,Zachary Howard,Bethlehem College and Seminary,Augustine’s Creedal Imagination: The Rule of Faith as Structure for a Spiritual Imaginary,Creedal Christianity,False,2:20 PM,,False,False,
November 18th,Tuesday,3:10 PM,3:50 PM,Copley Place - Fifth Floor: Massachusetts,Stephanie L. Black,Fuller Theological Seminary,Ethiopian Christology and the Nicene Creed: 4th C Greek Inscriptional Evidence from King Ezana,Creedal Christianity,False,3:10 PM,,False,False,
November 18th,Tuesday,4:00 PM,4:40 PM,Copley Place - Fifth Floor: Massachusetts,Paul Smith,Grand Canyon Theological Seminary,The Nicene Hermeneutic of Ephrem the Syrian,Creedal Christianity,False,4:00 PM,,False,False,
November 18th,Tuesday,1:30 PM,2:10 PM,Copley Place - Fourth Floor: Yarmouth,Clement Yung Wen,McMaster Divinity College,Pannenberg and the Nicene-Constantinopolitan Creed of 381 for World Christianity,Creedal Christianity,False,1:30 PM,,False,False,
November 18th,Tuesday,2:20 PM,3:00 PM,Copley Place - Fourth Floor: Yarmouth,Isuwa Atsen,Trinity Christian College,Creedal Christianity in a Global Context: Why Nigeria Needs Nicaea,Creedal Christianity,False,2:20 PM,,False,False,
November 18th,Tuesday,3:10 PM,3:50 PM,Copley Place - Fourth Floor: Yarmouth,Jacob Chengwei Feng,Fuller Theological Seminary,"The Impact of the Nicene Creed on Chinese Christianity: Toward a Chinese Christology ",Creedal Christianity,False,3:10 PM,,False,False,
November 18th,Tuesday,4:00 PM,4:40 PM,Copley Place - Fourth Floor: Yarmouth,Timothy C. Tennent,Beeson Divinity School,Creedal Christianity through Hindu Eyes,Creedal Christianity,False,4:00 PM,,False,False,
November 18th,Tuesday,1:30 PM,4:40 PM,Copley Place - Fifth Floor: New Hampshire,Matthew Pinson,Welch Divinity School,Moderator,Church History,,1:30 PM,,True,False,
November 18th,Tuesday,1:30 PM,2:10 PM,Copley Place - Fifth Floor: New Hampshire,Jared M. Causey,Southwestern Baptist Theological Seminary,Reassessing the Feminist Interpretation of Phoebe Palmer: A Historical Critique,Church History,False,1:30 PM,,False,False,
November 18th,Tuesday,2:20 PM,3:00 PM,Copley Place - Fifth Floor: New Hampshire,S. A. Fix,WTS/FTS/RTS,Catechesis in a Time of Crisis: John Thomson’s Explication and an Old Sider’s Pastoral Theology,Church History,False,2:20 PM,,False,False,
November 18th,Tuesday,3:10 PM,3:50 PM,Copley Place - Fifth Floor: New Hampshire,Kyle Beshears,Independent Researcher,"Horticentric Atonement in Mormon Soteriology: Its Rise, Theological Tensions, and Reorientation",Church History,False,3:10 PM,,False,False,
November 18th,Tuesday,4:00 PM,4:40 PM,Copley Place - Fifth Floor: New Hampshire,Timothy Padgett,The Colson Center for Christian Worldview,"Is There Such a Thing As Judeo-Christianity: A Study with Schaeﬀer, Henry, and OsGuinness",Church History,False,4:00 PM,,False,False,
November 18th,Tuesday,1:30 PM,4:40 PM,Copley Place - Fourth Floor: Provincetown,Eric Turner,Hannibal-LaGrange University,Moderator,New Testament,,1:30 PM,,True,False,
November 18th,Tuesday,1:30 PM,2:10 PM,Copley Place - Fourth Floor: Provincetown,W. Edward Glenny,University of Northwestern - St Paul,Salvation in 1 Peter: A Study in Biblical Theology,New Testament,False,1:30 PM,,False,False,
November 18th,Tuesday,2:20 PM,3:00 PM,Copley Place - Fourth Floor: Provincetown,Joseph Dodson,Denver Seminary,"Unsolved Mysteries and Burdensome Superstitions: Seneca’s Epistle 95 and the Colossian ‘Heresy’ ",New Testament,False,2:20 PM,,False,False,
November 18th,Tuesday,3:10 PM,3:50 PM,Copley Place - Fourth Floor: Provincetown,Paul Lamicela,Independent Scholar,Matthew Bates’s Deﬁnition of the Gospel: the Galatian Opponents as a Test Case,New Testament,False,3:10 PM,,False,False,
November 18th,Tuesday,4:00 PM,4:40 PM,Copley Place - Fourth Floor: Provincetown,Mark Taylor,Southwestern Baptist Theological Seminary,The Neglected Theme of Humility in the Letter of James,New Testament,False,4:00 PM,,False,False,
November 18th,Tuesday,1:30 PM,4:40 PM,Copley Place - Fourth Floor: Grand Ballroom Salon A,Charles Savelle,Dallas Theological Seminary,Moderator,New Testament,,1:30 PM,,True,False,
November 18th,Tuesday,1:30 PM,2:10 PM,Copley Place - Fourth Floor: Grand Ballroom Salon A,Andrew Jennings,Southwestern Baptist Theological Seminary,Athens Meets Jerusalem: Melchizedek and a Biblical Model for Philosophical Theology,New Testament,False,1:30 PM,,False,False,
November 18th,Tuesday,2:20 PM,3:00 PM,Copley Place - Fourth Floor: Grand Ballroom Salon A,Jihyung Kim,McMaster Divinity College,"Why the Tabernacle, Not the Temple? Hebrews' Strategic Use of Wilderness Memory",New Testament,False,2:20 PM,,False,False,
November 18th,Tuesday,3:10 PM,3:50 PM,Copley Place - Fourth Floor: Grand Ballroom Salon A,Michael Cha,Dallas Theological Seminary,Hebrews 7-10 and Ezekiel's Temple: An Originalist Exposition,New Testament,False,3:10 PM,,False,False,
November 18th,Tuesday,4:00 PM,4:40 PM,Copley Place - Fourth Floor: Grand Ballroom Salon A,James N. Beevers,Westminster Theological Seminary,The Root of Apostasy: Hebrews 12 and the Reception of Deuteronomy 29:18-19,New Testament,False,4:00 PM,,False,False,
November 18th,Tuesday,1:30 PM,4:40 PM,Copley Place - Fourth Floor: Grand Ballroom Salon B,Matthew Burford,Samford University,Moderator,New Testament,,1:30 PM,,True,False,
November 18th,Tuesday,1:30 PM,2:10 PM,Copley Place - Fourth Floor: Grand Ballroom Salon B,Clinton E. Arnold,Talbot School of Theology,"Raging in Opposition to the Mission: The “Fall” of Satan in Luke 10:18 ",New Testament,False,1:30 PM,,False,False,
November 18th,Tuesday,2:20 PM,3:00 PM,Copley Place - Fourth Floor: Grand Ballroom Salon B,Charel du Toit,University of Pretoria & Vrije Universiteit Amsterdam,"Unhiding Women in Luke’s Parables: Imagination, Context, and Social Justice",New Testament,,2:20 PM,,False,False,
